=============================================================================================================
IsPublic IsSerial Name                                     BaseType                                                                                                                            
-------- -------- ----                                     --------                                                                                                                            
True     False    HmiSoftware                              Siemens.Engineering.HW.Software                                                                                                     
True     False    IValidator                                                                                                                                                                   
True     False    HmiBase                                  System.Object                                                                                                                       
True     False    HmiValidationResult                      System.Object                                                                                                                       
True     False    HmiAlarmClass                            Siemens.Engineering.HmiUnified.Common.HmiBase                                                                                       
True     False    HmiAlarmClassComposition                 System.Object                                                                                                                       
True     False    AlarmBase                                Siemens.Engineering.HmiUnified.Common.HmiBase                                                                                       
True     False    HmiAnalogAlarm                           Siemens.Engineering.HmiUnified.HmiAlarm.HmiAlarmCommon.AlarmBase                                                                    
True     False    HmiAnalogAlarmComposition                System.Object                                                                                                                       
True     False    HmiDiscreteAlarm                         Siemens.Engineering.HmiUnified.HmiAlarm.HmiAlarmCommon.AlarmBase                                                                    
True     False    HmiDiscreteAlarmComposition              System.Object                                                                                                                       
True     False    AlarmStatusVisuals                       System.Object                                                                                                                       
True     False    HmiAcknowledgedClearedState              Siemens.Engineering.HmiUnified.HmiAlarm.HmiAlarmCommon.AlarmStatusVisuals                                                           
True     False    HmiAcknowledgedState                     Siemens.Engineering.HmiUnified.HmiAlarm.HmiAlarmCommon.AlarmStatusVisuals                                                           
True     True     HmiAlarmCondition                        System.Enum                                                                                                                         
True     True     HmiAlarmStateMachine                     System.Enum                                                                                                                         
True     False    HmiClearedState                          Siemens.Engineering.HmiUnified.HmiAlarm.HmiAlarmCommon.AlarmStatusVisuals                                                           
True     True     HmiDiscreteAlarmTriggerMode              System.Enum                                                                                                                         
True     False    HmiRaisedState                           Siemens.Engineering.HmiUnified.HmiAlarm.HmiAlarmCommon.AlarmStatusVisuals                                                           
True     False    HmiConnection                            System.Object                                                                                                                       
True     False    HmiConnectionComposition                 System.Object                                                                                                                       
True     False    LoggingBase                              Siemens.Engineering.HmiUnified.Common.HmiBase                                                                                       
True     False    HmiAlarmLog                              Siemens.Engineering.HmiUnified.HmiLogging.HmiLoggingCommon.LoggingBase                                                              
True     False    HmiAlarmLogComposition                   System.Object                                                                                                                       
